No,Categories,Product,Unit,Price
154,Cookies,"Danish butter cookies 454 grm ",UNIT,12.50
155,Cookies,"Oreo cookies 432 grm pkt",UNIT,5.50
156,Cookies,"Oreo cookies 108 grm pkt",UNIT,2.90
157,Cookies,"Sky flakes crackers 1.05 kg",UNIT,9.90
158,Flours,"Wheat flour (50kg pac)",UNIT,3.50
159,Flours,"White flour (1 kg pac)",UNIT,4.00
160,Herbs,"Basil dry 113 grm ",UNIT,10.80
161,Herbs,Bayleaves,UNIT,25.00
162,Herbs,"Coriander leaves",UNIT,6.45
163,Herbs,"Cumin seeds ground",UNIT,25.00
164,Herbs,"Mint leaves",UNIT,15.35
165,Herbs,"Oregano grounded 118 grm ",UNIT,13.15
166,"Syrups / Concentrates","Rosemary dry",UNIT,20.00
167,"Syrups / Concentrates","Thyme dry",UNIT,25.00
168,"Syrups / Concentrates","Tamrinda paste",UNIT,10.10
169,"Syrups / Concentrates","Ice tea powder juice 30 grm ",UNIT,1.35
170,"Syrups / Concentrates","Maple sirup",UNIT,6.45
171,"Syrups / Concentrates","Peanut butter 500 grm ",UNIT,8.15
172,"Syrups / Concentrates","Tang mango juice powder (mini)",UNIT,1.10
173,"Syrups / Concentrates","Tang orange juice powder (mini)",UNIT,1.10
174,"Syrups / Concentrates","Tang peach juice powder (mini)",UNIT,1.10
175,"Syrups / Concentrates","Syrup corn white  (mini)",UNIT,1.10
176,"Fruit Juices","Apple juice",UNIT,2.30
177,"Fruit Juices","Guayaba juice",UNIT,2.40
178,"Fruit Juices","Grape red",UNIT,2.40
179,"Fruit Juices","Apricot juice",UNIT,2.40
180,"Fruit Juices","Grape juice",UNIT,2.40
181,"Fruit Juices","Mango juice",UNIT,2.40
182,"Fruit Juices","Orange juice",UNIT,2.40
183,"Fruit Juices","Pinneaple juice",UNIT,2.40
184,"Fruit Juices","Tomato juice",UNIT,2.60
185,"Milks / Creams","Coffee creamer 500 grm",UNIT,7.80
186,"Milks / Creams","Condensed milk",UNIT,3.35
187,"Milks / Creams","Evaporated milk ",UNIT,3.30
188,"Milks / Creams","Milk long life 0%",UNIT,2.30
189,"Milks / Creams","Milk long life uht 1.5 % fat",UNIT,2.30
190,"Milks / Creams","Milk long life almond flavor",UNIT,4.40
191,"Milks / Creams","Milk long life soya flavor",UNIT,4.55
192,"Milks / Creams","Milkpowder ",UNIT,20.25
193,"Milks / Creams","Sour cream ",UNIT,15.00
194,"Milks / Creams","Topping cream aerosol 400ml",UNIT,9.75
195,"Milks / Creams","Whiping cream 375ml btl ",UNIT,9.10
196,Yeast,"Bakiing soda 454 grm ",UNIT,5.25
197,Yeast,"Yeast dry 500 grm",UNIT,7.75
198,Butter,"Butter half salted 227 gm pack",UNIT,21.00
199,Butter,"Butter salted 227 gm pkt",UNIT,7.45
200,Butter,"Butter unsalted (227 gm pack)",UNIT,7.20
201,"Seafood ","Crab fresh local",UNIT,15.20
202,"Seafood ",Lobster,UNIT,28.60
203,"Seafood ","Pink shrimps ",UNIT,26.35
204,Offals,"Chicken gizzard",UNIT,7.25
205,Offals,"Chicken liver",UNIT,7.20
206,Jams,"Apricont jam 450 grr",UNIT,6.35
207,Jams,"Jam assorted flavour 450gr",UNIT,6.40
208,Jams,"Blueberry jam 340 frm ",UNIT,7.50
209,Jams,"Fig preserve jam 290 grm",UNIT,5.30
210,Jams,"Maraschino cherry 340 grm ",UNIT,5.30
211,Jams,"Orange jam 450 gr",UNIT,5.30
212,Jams,"Pineapple jam 400 grm ",UNIT,5.70
213,Jams,"Raspberry jam 340 grm ",UNIT,5.70
214,Jams,"Strawberry jam 340 grm",UNIT,5.70
215,Honey,"Honey 350 gr",UNIT,5.90
216,Mustard,"French mustard cooking 250ml",UNIT,5.80
217,"Bread / Bakery","Bread crumbs panko",UNIT,14.20
218,"Bread / Bakery","Bread toasting sliced 650 grm ",UNIT,7.20
219,"Bread / Bakery","Bread white sliced 900 grm ",UNIT,6.50
220,"Bread / Bakery","Cake mix chocolate 400 grm ",UNIT,5.00
221,"Bread / Bakery","French baguette 300 gr",UNIT,2.50
222,"Bread / Bakery","Bread brown sliced 770 gr",UNIT,6.75
223,"Bread / Bakery","French croissants 6 pcs ",UNIT,5.85
224,"Bread / Bakery","Hamburger bon 12 pcs",UNIT,10.00
225,"Bread / Bakery","Pan cake mix 400 grm ",UNIT,5.45
226,"Bread / Bakery","Hot cake mix  400 grm ",UNIT,5.00
227,Chips,"Lays cheaps personal 40gm pack",UNIT,1.95
