No;Categories;Product;Unit;Price ;;;
166;Dried fruit;Mixed nuts salted ;UNIT;5.8;;;
167;Dried fruit;Mixed nuts with shell ;UNIT;4.2;;;
168;Dried fruit;Raisin dry;UNIT;18.7;;;
169;Dried fruit;Almonds flaked 907 grm pkt;UNIT;29.5;;;
170;Dried fruit;Whole almonds;UNIT;24.2;;;
171;Dried fruit;Assorted biscuits ;UNIT;10.9;;;
172;Cookies;Butter short bread 454 grm;UNIT;7.65;;;
173;Cookies;Cookies biscuits;UNIT;6.7;;;
174;Cookies;Digestive biscuits 176 gr;UNIT;2.9;;;
175;Cookies;Danish butter cookies 454 grm ;UNIT;12.5;;;
176;Cookies;Oreo cookies 432 grm pkt;UNIT;5.5;;;
177;Cookies;Oreo cookies 108 grm pkt;UNIT;2.9;;;
178;Cookies;Sky flakes crackers 1.05 kg;UNIT;9.9;;;
179;Flours;Wheat flour (50kg pac);UNIT;3.5;;;
180;Flours;White flour (1 kg pac);UNIT;4;;;
181;Herbs;Basil dry 113 grm ;UNIT;10.8;;;
182;Herbs;Bayleaves;UNIT;25;;;
183;Herbs;Coriander leaves;UNIT;6.45;;;
184;Herbs;Cumin seeds ground;UNIT;25;;;
185;Herbs;Mint leaves;UNIT;15.35;;;
186;Herbs;Oregano grounded 118 grm ;UNIT;13.15;;;
187;Syrups / Concentrates;Rosemary dry;UNIT;20;;;
188;Syrups / Concentrates;Thyme dry;UNIT;25;;;
189;Syrups / Concentrates;Tamrinda paste;UNIT;10.1;;;
190;Syrups / Concentrates;Ice tea powder juice 30 grm ;UNIT;1.35;;;
191;Syrups / Concentrates;Maple sirup;UNIT;6.45;;;
192;Syrups / Concentrates;Peanut butter 500 grm ;UNIT;8.15;;;
193;Syrups / Concentrates;Tang mango juice powder (mini);UNIT;1.1;;;
194;Syrups / Concentrates;Tang orange juice powder (mini);UNIT;1.1;;;
195;Syrups / Concentrates;Tang peach juice powder (mini);UNIT;1.1;;;
196;Syrups / Concentrates;Syrup corn white  (mini);UNIT;1.1;;;
197;Syrups / Concentrates;Tang orange juice powder (mini);UNIT;1.1;;;
198;Fruit Juices;Apple juice;UNIT;2.3;;;
199;Fruit Juices;Guayaba juice;UNIT;2.4;;;
200;Fruit Juices;Grape red;UNIT;2.4;;;
201;Fruit Juices;Apricot juice;UNIT;2.4;;;
202;Fruit Juices;Grape juice;UNIT;2.4;;;
203;Fruit Juices;Mango juice;UNIT;2.4;;;
204;Fruit Juices;Orange juice;UNIT;2.4;;;
205;Fruit Juices;Pinneaple juice;UNIT;2.4;;;
206;Fruit Juices;Tomato juice;UNIT;2.6;;;
207;Milks / Creams;Coffee creamer 500 grm;UNIT;7.8;;;
208;Milks / Creams;Condensed milk;UNIT;3.35;;;
209;Milks / Creams;Evaporated milk ;UNIT;3.3;;;
210;Milks / Creams;Milk long life 0%;UNIT;2.3;;;
211;Milks / Creams;Milk long life uht 1.5 % fat;UNIT;2.3;;;
212;Milks / Creams;Milk long life almond flavor;UNIT;4.4;;;
213;Milks / Creams;Milk long life soya flavor;UNIT;4.55;;;
214;Milks / Creams;Milkpowder ;UNIT;20.25;;;
215;Milks / Creams;Sour cream ;UNIT;15;;;
216;Milks / Creams;Topping cream aerosol 400ml;UNIT;9.75;;;
217;Milks / Creams;Whiping cream 375ml btl ;UNIT;9.1;;;
218;Yeast;Bakiing soda 454 grm ;UNIT;5.25;;;
219;Yeast;Yeast dry 500 grm;UNIT;7.75;;;
220;Butter;Butter half salted 227 gm pack;UNIT;21;;;
221;Butter;Butter salted 227 gm pkt;UNIT;7.45;;;
222;Butter;Butter unsalted (227 gm pack);UNIT;7.2;;;
223;Seafood ;Crab fresh local;UNIT;15.2;;;
224;Seafood ;Lobster;UNIT;28.6;;;
225;Seafood ;Pink shrimps ;UNIT;26.35;;;
226;Offals;Chicken gizzard;UNIT;7.25;;;
227;Offals;Chicken liver;UNIT;7.2;;;
228;Jams;Apricont jam 450 grr;UNIT;6.35;;;
229;Jams;Jam assorted flavour 450gr;UNIT;6.4;;;
230;Jams;Blueberry jam 340 frm ;UNIT;7.5;;;
231;Jams;Fig preserve jam 290 grm;UNIT;5.3;;;
232;Jams;Maraschino cherry 340 grm ;UNIT;5.3;;;
233;Jams;Orange jam 450 gr;UNIT;5.3;;;
234;Jams;Pineapple jam 400 grm ;UNIT;5.7;;;
235;Jams;Raspberry jam 340 grm ;UNIT;5.7;;;
236;Jams;Strawberry jam 340 grm;UNIT;5.7;;;
237;Honey;Honey 350 gr;UNIT;5.9;;;
238;Mustard;French mustard cooking 250ml;UNIT;5.8;;;
239;Bread / Bakery;Bread crumbs panko;UNIT;14.2;;;
240;Bread / Bakery;Bread toasting sliced 650 grm ;UNIT;7.2;;;
241;Bread / Bakery;Bread white sliced 900 grm ;UNIT;6.5;;;
242;Bread / Bakery;Cake mix chocolate 400 grm ;UNIT;5;;;
243;Bread / Bakery;French baguette 300 gr;UNIT;2.5;;;
244;Bread / Bakery;Bread brown sliced 770 gr;UNIT;6.75;;;
245;Bread / Bakery;French croissants 6 pcs ;UNIT;5.85;;;
246;Bread / Bakery;Hamburger bon 12 pcs;UNIT;10;;;
247;Bread / Bakery;Pan cake mix 400 grm ;UNIT;5.45;;;
248;Bread / Bakery;Hot cake mix  400 grm ;UNIT;5;;;
249;Chips;Lays cheaps personal 40gm pack;UNIT;1.95;;;
250;Chips;Lays crips plain salted 110gm pack;UNIT;4.55;;;
251;Chips;Lays crips cheese & onion 110gm pack;UNIT;4.6;;;
252;Chips;Lays crips plain and cheese190gm pack;UNIT;4.6;;;
253;Chips;Doritos 150gm pack;UNIT;3.7;;;
254;Chips;Pringals 40gm box;UNIT;2.4;;;
255;Chips;Pringals 118gm box;UNIT;5.3;;;
256;Paste;Farfalle 454 grm;UNIT;5.3;;;
257;Paste;Farfalle mini 200 grm;UNIT;3.05;;;
258;Paste;Fettucini 300 grm;UNIT;4.2;;;
259;Paste;Fussili pasta 400 grm;UNIT;4.15;;;
260;Paste;Glas noodles ;UNIT;5.3;;;
261;Paste;Lasagna sheets 500 grm;UNIT;4.65;;;
262;Paste;Lenguini 500 grm ;UNIT;4.35;;;
263;Paste;Macaronis 200 grm;UNIT;1.6;;;
264;Paste;Macaronis elbows 200 grm;UNIT;1.6;;;
265;Paste;Pancit cantoon noodles 350 grm;UNIT;5.25;;;
266;Paste;Paste shelles;UNIT;3.3;;;
267;Paste;Rammen noodles 70 gr ;UNIT;1.4;;;
268;Paste;Paste shelles mini;UNIT;6;;;
269;Paste;Penne rigate pasta;UNIT;6;;;
270;Paste;Spaghettis;UNIT;6.35;;;
271;Paste;Tagliatelles 300 grm ;UNIT;4;;;
272;Egg;Fresh egg;UNIT;0.3;;;
273;Canned fish;Crabmeat;UNIT;8.25;;;
274;Canned fish;Escargot;UNIT;15.2;;;
275;Canned fish;Mussels natural;UNIT;12.25;;;
276;Canned fish;Sardines hot 155 grm;UNIT;2.75;;;
277;Canned fish;Sardines in oil  155 grm;UNIT;3.15;;;
278;Canned fish;Sardines in tomato 155 grm;UNIT;2.75;;;
279;Canned fish;Tuna in water  170 grm;UNIT;3.15;;;
280;Canned fish;Tuna in oil 170 grm ;UNIT;3.15;;;
281;Canned fish;Tuna in vegetable 170 grm ;UNIT;3.15;;;
282;Canned fish;Tuna natural 185 grm ;UNIT;4.45;;;
283;Fresh/frozen fish;Fish fillet as per require  (fresh or frozen);UNIT;18.5;;;
284;Fresh/frozen fish;Fresh fish (robalo,baracuda, colorado, cubera)  (fresh or frozen);UNIT;10;;;
285;Fresh/frozen fish;Tilapia m (fresh or frozen);UNIT;11.25;;;
286;Cheese;Philadelphia cream chees 150 gr;UNIT;6.5;;;
287;Cheese;American cheese;UNIT;14.5;;;
288;Cheese;Cheddar cheese;UNIT;23;;;
289;Cheese;Cheddar cheese slice;UNIT;19.85;;;
290;Cheese;Cheese feta 6 onz;UNIT;16;;;
291;Cheese;Cheese gouda;UNIT;30;;;
292;Cheese;Cheese mozzarella whole;UNIT;20;;;
293;Cheese;Cheese sliced;UNIT;14.5;;;
294;Cheese;Cottage cheese 319 grm;UNIT;10;;;
295;Cheese;Goat cheese 10.5 onz. ;UNIT;15;;;
296;Cheese;Manchego 460grm.;UNIT;15;;;
297;Cheese;Mozarella cheese grated ;UNIT;24.5;;;
298;Cheese;Provolone cheese 690grm. ;UNIT;20.35;;;
299;Cheese;Swiss cheese 690grm.;UNIT;15.5;;;
300;Beef;Beef bone knuckle;UNIT;11.4;;;
301;Beef;Beef bone marrow;UNIT;11.9;;;
302;Beef;Beef brisket boneless;UNIT;14.5;;;
303;Beef;Beef chunk for mincing;UNIT;13;;;
304;Beef;Beef chunk ;UNIT;13.5;;;
305;Beef;Beef cube rools;UNIT;13;;;
306;Beef;Beef liver;UNIT;10.5;;;
307;Beef;Beef minced;UNIT;12.75;;;
308;Beef;Beef ribeye;UNIT;15.5;;;
309;Beef;Beef rounds bone in;UNIT;13.5;;;
310;Beef;Beef shin chopped;UNIT;13;;;
311;Beef;Beef rump steak boneless;UNIT;14;;;
312;Beef;Beef shank bone in;UNIT;11.4;;;
313;Beef;Beef shortrib bone in;UNIT;11.75;;;
314;Beef;Beef silverside;UNIT;13.75;;;
315;Beef;Beef sirloin;UNIT;14;;;
316;Beef;Beef spare ribs cutted;UNIT;12.5;;;
317;Beef;Beef stripe;UNIT;12;;;
318;Beef;Beef striploin;UNIT;14.5;;;
319;Beef;Beef tail;UNIT;13.75;;;
320;Beef;Beef tenderloin 2/3 lbs;UNIT;15.2;;;
321;Beef;Beef topside;UNIT;13.5;;;
322;Beef;Bones beef ( for soup cutted);UNIT;9.5;;;
